PAYMENT_ID,MERCHANT_PAYMENT_ID,AMOUNT,CURRENCY,PAYMENT_REFERENCE,CREATION_TIME_UTC,LAST_STATUS_UPDATE_TIME_UTC,FINAL_STATUS_TIME_UTC,STATUS,INSTITUTION_ID,PAYMENT_TYPE,PAYER_EMAIL,IS_REFUNDED,AMOUNT_REFUNDED,LAST_REFUND_TIME,IS_PAY_BY_LINK,PROVIDED_PAYER_NAMES
25d9ac93-f058-41b1-8246-a6d01fbcb105,TXN69523335,200.00,GBP,TXN69523335,2025-08-01 08:27:55,2025-08-01 08:28:39,2025-08-01 08:28:39,COMPLETED,hsbc_uk,VOLUME,,false,0,,false,
5f78aeb0-76ff-41b8-8a4c-79946b9226a2,TXN10252882,150.00,GBP,250801171852794BUZ,2025-08-01 17:30:53,2025-08-01 17:30:53,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
a4080e59-96ec-45e3-9cb2-2780ecac62b6,TXN18336015,150.00,GBP,250801171907851WVZ,2025-08-01 17:31:48,2025-08-01 17:31:48,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
99ce2172-8ab6-428f-8ce3-2dfced279de9,TXN33200849,150.00,GBP,250801171930876UFQ,2025-08-01 17:32:11,2025-08-01 17:32:11,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
13dbe8ca-5414-4365-8e1c-b34b2f9020f6,TXN92469800,150.00,GBP,250801172017162KMO,2025-08-01 17:33:37,2025-08-01 17:33:37,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
823c74d8-7eb4-4538-b2b4-1830bd8f7abb,TXN68592350,150.00,GBP,250801172112176SHX,2025-08-01 17:35:12,2025-08-01 17:35:12,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
b04dc476-ad44-4983-976f-722346a1cf68,TXN59295861,150.00,GBP,250801172189838IC3,2025-08-01 17:36:30,2025-08-01 17:36:30,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
97b6523e-7480-47dd-8029-4402414d84c1,TXN35969748,150.00,GBP,250801172232054LMT,2025-08-01 17:37:12,2025-08-01 17:37:12,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
d926a778-9e0c-4fd9-8552-9c2e8bb7bef7,TXN89658778,117.65,GBP,250801172259991JT2,2025-08-01 17:37:40,2025-08-01 17:37:40,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
8e7ad629-59ee-4b82-aba5-f23112bd30eb,TXN62747168,235.29,GBP,250801172785447WFM,2025-08-01 17:46:25,2025-08-01 17:47:15,2025-08-01 17:47:15,SETTLED,barclays,VOLUME,,false,0,,false,
58822278-4249-47aa-b73b-c9d2f00cd6be,TXN35408896,150.00,GBP,250801172811458YMN,2025-08-01 17:46:51,2025-08-01 17:46:51,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
aaad2489-dfe7-4611-8ad8-462d83bd1a5d,TXN30329207,150.00,GBP,250801172840842RRB,2025-08-01 17:47:21,2025-08-01 17:47:21,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
51fdc89f-a407-4672-812e-6976b930cf41,TXN49069505,150.00,GBP,250801172862593FBF,2025-08-01 17:47:42,2025-08-01 17:47:42,,AWAITING_AUTHORIZATION,starling_ob,VOLUME,,false,0,,false,
b5810322-fcf5-449f-b033-c805b55d6a57,TXN22669695,150.00,GBP,250801172877908ADC,2025-08-01 17:47:58,2025-08-01 17:49:02,2025-08-01 17:49:02,FAILED,barclays,VOLUME,,false,0,,false,
e9197a2d-8ee1-4b3e-af2d-eb31bb54816b,TXN83800945,150.00,GBP,250801172963256G9L,2025-08-01 17:49:23,2025-08-01 17:49:23,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
1f76dd99-d436-4941-a1bf-1dd7891cbfae,TXN60296026,117.65,GBP,25080118112109V5GK,2025-08-01 18:01:52,2025-08-01 18:02:25,2025-08-01 18:02:25,SETTLED,barclays,VOLUME,,false,0,,false,
6ace5c0f-2b7f-46e1-a487-0a04db0a8908,TXN58215293,309.80,GBP,250801181987194HXA,2025-08-01 18:33:07,2025-08-01 18:33:48,2025-08-01 18:33:48,SETTLED,barclays,VOLUME,,false,0,,false,
e504e16e-6014-4f23-ae5f-7f13e8723223,TXN41600082,117.65,GBP,25080119509449EFPZ,2025-08-01 19:08:29,2025-08-01 19:08:29,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
5f076128-fa40-4c98-aef7-537ae0ddd4f5,TXN95188141,117.65,GBP,250801191063017161,2025-08-01 19:17:43,2025-08-01 19:18:07,2025-08-01 19:18:07,SETTLED,barclays,VOLUME,,false,0,,false,
0bfe1daa-0954-44a1-afb8-4b0973a6efaf,TXN23686446,117.65,GBP,250801192951785CK0,2025-08-01 19:49:12,2025-08-01 19:49:41,2025-08-01 19:49:41,SETTLED,barclays,VOLUME,,false,0,,false,
f7fff32a-d126-4208-bdfe-a4384aed79fb,TXN83211600,117.65,GBP,2508011930327452I1,2025-08-01 19:50:33,2025-08-01 19:50:50,2025-08-01 19:50:50,SETTLED,barclays,VOLUME,,false,0,,false,
60794eb2-1020-4ce5-b524-4bfa4ec6d65c,TXN83723219,117.65,GBP,250801193122699P7A,2025-08-01 19:52:03,2025-08-01 19:52:35,2025-08-01 19:52:35,FAILED,barclays,VOLUME,,false,0,,false,
d06404db-6f0a-41df-948a-877ae64c5345,TXN55167770,78.43,GBP,250801193219575BC1,2025-08-01 19:53:40,2025-08-01 19:54:23,2025-08-01 19:54:23,SETTLED,halifax,VOLUME,,false,0,,false,
f6ed7dbb-e54a-42a0-a403-1b795242fb38,TXN08596871,78.43,GBP,250801193326956NZU,2025-08-01 19:55:27,2025-08-01 19:55:51,2025-08-01 19:55:51,SETTLED,halifax,VOLUME,,false,0,,false,
6b027e4e-0b64-4d8d-a584-706f97cffa36,TXN47786386,246.00,GBP,250801203330121RAL,2025-08-01 20:55:31,2025-08-01 20:55:31,,AWAITING_AUTHORIZATION,halifax,VOLUME,,false,0,,false,
9bf39d17-cbfd-48b4-9c2b-dcf610b3b132,TXN75897080,246.00,GBP,2508012034155665EW,2025-08-01 20:56:56,2025-08-02 02:55:04,2025-08-02 02:55:04,SETTLED,halifax,VOLUME,,false,0,,false,
c4eedd14-57c5-4c3d-84de-3027c1ba559b,TXN71832528,150.00,GBP,250802081550900QHD,2025-08-02 08:25:51,2025-08-02 08:25:51,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
07742bb5-d774-4d53-9017-7cbaedd5ff3b,TXN08180649,150.00,GBP,250802121312701HTO,2025-08-02 12:21:53,2025-08-02 12:21:53,,AWAITING_AUTHORIZATION,barclays,VOLUME,,false,0,,false,
72eb74fa-f535-4c78-92fb-7e3e8df2eff9,TXN00592692,100.00,GBP,250802122327608AIW,2025-08-02 12:38:48,2025-08-02 12:40:13,2025-08-02 12:40:13,SETTLED,lloyds,VOLUME,,false,0,,false,
541005f6-96d0-497f-8284-796c3bd495ea,TXN77143163,75.00,GBP,250802202482487CUG,2025-08-02 20:41:23,2025-08-02 20:41:23,,AWAITING_AUTHORIZATION,monzo_ob,VOLUME,,false,0,,false,
3beafe32-333a-4e6f-8073-f78904fe1215,TXN97216040,74.00,GBP,250802202652059X3Z,2025-08-02 20:44:12,2025-08-02 20:44:42,2025-08-02 20:44:42,SETTLED,monzo_ob,VOLUME,,false,0,,false,
64d9d186-8850-4fc3-a536-2ed28efcd618,TXN56597228,10.00,GBP,250803101255971MAU,2025-08-03 10:20:56,2025-08-03 10:20:56,,AWAITING_AUTHORIZATION,monzo_ob,VOLUME,,false,0,,false,
cbdde7f9-1cc9-4151-8079-232937a9692b,TXN64434865,250.00,GBP,25080314996552PG3R,2025-08-03 14:16:37,2025-08-03 14:17:26,2025-08-03 14:17:26,SETTLED,halifax,VOLUME,,false,0,,false,
e647d3ea-79c8-4c41-85e0-4fa02b728c62,TXN17334645,37.31,GBP,250803141295030KFX,2025-08-03 14:21:35,2025-08-03 14:22:07,2025-08-03 14:22:07,SETTLED,halifax,VOLUME,,false,0,,false,
4d71cacd-5099-427a-9fa2-429862b13c7d,TXN02008263,156.86,GBP,25080405257416P1MA,2025-08-04 05:04:18,2025-08-04 05:04:18,,AWAITING_AUTHORIZATION,halifax,VOLUME,,false,0,,false,
